"RcptCode","RcptNo","ROCode","RONo","RcptDate","RcptAmt","PayMode","ChqNo","BankName","Rmk"
$80.00,$1678.00,$190.00,$2244.00,5-10-2017 0:00:00,$470.00,"CASH","--","----","---"
$81.00,$1679.00,$131.00,$2185.00,6-10-2017 0:00:00,$51065.00,"CHEQUE","000917","HDFC","RO- 2162 & 2185"
$82.00,$1680.00,$181.00,$2235.00,11-10-2017 0:00:00,$51065.00,"CHEQUE","000928","HDFC BANK",""
$83.00,$1681.00,$144.00,$2198.00,11-10-2017 0:00:00,$23453.00,"NEFT / RTGS","---","KARNATAK BANK LTD.",""
$84.00,$1682.00,$189.00,$2243.00,5-10-2017 0:00:00,$2000.00,"CASH","---","------","3 RUPEE DISCOUNT"
$85.00,$1683.00,$200.00,$2254.00,13-10-2017 0:00:00,$86656.00,"CHEQUE","028335","ALLAHABAD BANK",""
$86.00,$1684.00,$209.00,$2263.00,14-10-2017 0:00:00,$367.50,"CASH","---","","----"
$87.00,$1685.00,$210.00,$2264.00,14-10-2017 0:00:00,$457.50,"CASH","--","----","----"
$88.00,$1686.00,$47.00,$2107.00,16-10-2017 0:00:00,$32957.00,"CHEQUE","910015","PUNJAB NATIONAL BANK",""
$89.00,$1687.00,$215.00,$2269.00,18-10-2017 0:00:00,$1800.00,"CASH","----","----",""
$47.00,$1646.00,$92.00,$2146.00,24-8-2017 0:00:00,$2500.00,"CASH","","",""
$90.00,$1688.00,$105.00,$2159.00,23-10-2017 0:00:00,$40000.00,"CHEQUE","148148","SBI",""
$91.00,$1689.00,$107.00,$2161.00,23-10-2017 0:00:00,$19125.00,"CHEQUE","681131","PNB",""
$92.00,$1690.00,$221.00,$2275.00,24-10-2017 0:00:00,$2790.00,"CASH","","",""
$93.00,$1691.00,$216.00,$2270.00,25-10-2017 0:00:00,$34531.00,"CHEQUE","190470","PNB",""
$94.00,$1692.00,$192.00,$2246.00,25-10-2017 0:00:00,$4600.00,"CASH","","",""
$95.00,$1693.00,$223.00,$2277.00,26-10-2017 0:00:00,$420.00,"CASH","---","----",""
$96.00,$1694.00,$224.00,$2278.00,26-10-2017 0:00:00,$561.75,"CASH","---","----",""
$97.00,$1695.00,$225.00,$2279.00,27-10-2017 0:00:00,$938.00,"CASH","---","","--"
