"MBNo","MBDate","ROCode","RONo","Amt"
"UP-I-2021-050318",8-8-2020 0:00:00,$2730.00,$4785.00,$4284.00
"08JA0/20/10097",10-8-2020 0:00:00,$2720.00,$4775.00,$59976.00
"08JA0/20/12095",26-8-2020 0:00:00,$2761.00,$4816.00,$59976.00
"NMB011865/20-21",27-7-2020 0:00:00,$2703.00,$4758.00,$4284.00
"NMB011951/20-21",31-7-2020 0:00:00,$2703.00,$4758.00,$4284.00
"NMB012747/20-21",26-8-2020 0:00:00,$2722.00,$4777.00,$4284.00
"KU1/20-8/8033",5-8-2020 0:00:00,$2732.00,$4787.00,$11245.50
"SR0/20-7/21463",30-7-2020 0:00:00,$2704.00,$4759.00,$11245.50
"SR0/20-7/21152",13-7-2020 0:00:00,$2704.00,$4759.00,$11245.50
"AD2009201639",17-7-2020 0:00:00,$2708.00,$4763.00,$50668.00
"UP-I-2021-050318",22-8-2020 0:00:00,$2758.00,$4813.00,$854.12
"UP-I-2021-064113",28-8-2020 0:00:00,$2763.00,$4817.00,$11616.07
"UP-I-2021-065962",30-8-2020 0:00:00,$2753.00,$4808.00,$1708.25
"UP-I-2021-065988",30-8-2020 0:00:00,$2762.00,$4818.00,$854.12
"UP-I-2021-067510",31-8-2020 0:00:00,$2739.00,$4794.00,$2484.72
"UP-I-2021-067525",31-8-2020 0:00:00,$2754.00,$4809.00,$3245.13
"KU1/20-8/8902",14-8-2020 0:00:00,$2743.00,$4798.00,$11245.50
"KU1/20-8/8789",24-8-2020 0:00:00,$2755.00,$4810.00,$11245.50
"UP-I-2021-073601",7-9-2020 0:00:00,$2781.00,$4836.00,$8246.70
"UP-I-2021-076256",11-9-2020 0:00:00,$2785.00,$4840.00,$2143.26
"UP-I-2021-076264",11-9-2020 0:00:00,$2795.00,$4850.00,$4748.10
"UP-I-2021-076254",11-9-2020 0:00:00,$2784.00,$4839.00,$3333.96
"UP-I-2021-076257",11-9-2020 0:00:00,$2786.00,$4841.00,$2460.78
"AD2009002807",9-9-2020 0:00:00,$2793.00,$4848.00,$8730.00
"AD2009002996",21-9-2020 0:00:00,$2793.00,$4848.00,$8730.00
"F29001021041",15-9-2020 0:00:00,$2764.00,$4819.00,$219834.00
"F29001016857",15-8-2020 0:00:00,$2721.00,$4776.00,$187974.00
"F29001019070",31-8-2020 0:00:00,$2721.00,$4776.00,$9558.00
"F29001019071",31-8-2020 0:00:00,$2721.00,$4776.00,$6372.00
"F29001019072",31-8-2020 0:00:00,$2721.00,$4776.00,$12744.00
"F29001019073",31-8-2020 0:00:00,$2721.00,$4776.00,$3186.00
"F29001019074",31-8-2020 0:00:00,$2721.00,$4776.00,$3186.00
"F29001019075",31-8-2020 0:00:00,$2721.00,$4776.00,$12744.00
"100",27-10-2020 0:00:00,$2778.00,$4833.00,$1888.00
"323",14-9-2020 0:00:00,$2778.00,$4833.00,$9735.00
"",30-9-2020 0:00:00,$2778.00,$4833.00,$2000.00
"",23-10-2020 0:00:00,$2778.00,$4833.00,$450.00
"F29001030127",31-10-2020 0:00:00,$2856.00,$4911.00,$84252.00
"F29001030125",31-10-2020 0:00:00,$2813.00,$4868.00,$84960.00
"F29001030126",31-10-2020 0:00:00,$2813.00,$4868.00,$2124.00
"F29001025980",15-10-2020 0:00:00,$2813.00,$4868.00,$157176.00
"F29001033759",15-11-2020 0:00:00,$2888.00,$4943.00,$59472.00
"08JA0/20/20980",27-10-2020 0:00:00,$2881.00,$4936.00,$59976.00
"08JA0/20/23982",18-12-2020 0:00:00,$2881.00,$4936.00,$59976.00
